"199","23","361","159","21051","1","0","0","0","30","2","7","3","2012-09-30"
"202","24","318","959","12696","1","999","0","0","30","5","9","46","1991-01-01"
"203","24","319","767","15875","2","1000","0","0","25","2","7","1","2013-03-03"
"204","24","321","977","12463","1","999","0","0","30","5","9","46","1991-01-01"
"205","24","358","216","15496","2","1000","0","0","25","2","7","1","2013-03-03"
"206","25","318","562","21666","1","925","0","0","30","5","9","46","1991-01-01"
"207","25","321","580","20993","1","925","0","0","30","5","9","46","1991-01-01"
"208","26","318","321","37932","2","900","0","0","20","2","6","30","1991-01-01"
"209","26","318","321","37932","2","900","0","0","20","2","6","30","1991-01-01"
"210","26","318","390","31221","1","850","0","0","30","5","9","41","1991-01-01"
"211","26","318","342","35603","1","0","0","0","30","2","6","3","2012-09-30"
"212","26","318","447","27240","1","0","0","0","30","2","7","3","2012-09-30"
"213","26","318","462","26355","1","0","0","0","30","2","7","3","2012-09-30"
"214","26","319","454","26820","1","900","0","0","30","5","9","46","1991-01-01"
"215","26","319","358","34012","1","0","0","0","30","2","6","3","2012-09-30"
"216","26","319","463","26298","1","0","0","0","30","2","7","3","2012-09-30"
"217","26","319","480","25367","1","0","0","0","30","2","7","3","2012-09-30"
"218","26","320","454","26820","1","900","0","0","30","5","9","46","1991-01-01"
"219","26","320","358","34012","1","0","0","0","30","2","6","3","2012-09-30"
"220","26","320","480","25367","1","0","0","0","30","2","7","3","2012-09-30"
"221","26","321","354","34396","3","833","0","0","20","2","6","29","1991-01-01"
"222","26","321","455","26761","1","900","0","0","30","5","9","46","1991-01-01"
"223","26","321","356","34203","1","0","0","0","30","2","6","3","2012-09-30"
"224","26","321","480","25367","1","0","0","0","30","2","7","3","2012-09-30"
"244","26","360","139","24080","1","900","0","0","30","5","9","46","1991-01-01"
"245","26","361","146","22925","1","0","0","0","30","2","7","3","2012-09-30"
"247","27","318","361","33729","1","843","0","0","30","5","9","46","1991-01-01"
"248","27","319","370","32909","1","843","0","0","30","5","9","46","1991-01-01"
"249","27","320","372","32732","1","843","0","0","30","5","9","46","1991-01-01"
"250","27","321","371","32820","1","843","0","0","30","5","9","46","1991-01-01"
"253","28","318","299","40723","1","966","0","0","30","5","9","46","1991-01-01"
"254","28","318","299","40723","1","970","0","0","30","5","9","46","1991-01-01"
"255","28","318","319","38170","1","900","0","0","30","5","9","46","1991-01-01"
"256","28","318","294","41416","1","980","0","0","30","5","9","46","1991-01-01"
"257","28","318","297","41000","1","1000","0","0","30","5","9","46","1991-01-01"
"258","28","319","303","40186","1","980","0","0","30","5","9","46","1991-01-01"
"259","28","320","304","40053","1","975","0","0","30","5","9","46","1991-01-01"
"260","28","321","329","37010","1","900","0","0","30","5","9","46","1991-01-01"
"262","28","360","98","34154","1","975","0","0","30","5","9","46","1991-01-01"
"263","28","360","101","33140","1","900","0","0","30","5","9","46","1991-01-01"
"264","28","361","98","34154","1","975","0","0","30","5","9","46","1991-01-01"
"265","28","361","101","33140","1","900","0","0","30","5","9","46","1991-01-01"
"266","28","361","96","34866","1","1000","0","0","30","5","9","46","1991-01-01"
"267","28","361","119","28127","2","797","0","0","27","2","7","53","2013-02-18"
"270","29","319","2679","4545","3","660","0","0","27","2","9","55","2013-02-10"
"271","30","318","1167","10433","3","954","0","0","25","2","7","4","1991-01-01"
"272","30","318","1022","11914","2","1097","0","0","27","2","7","4","2013-02-08"
"273","30","319","1193","10206","3","954","0","0","25","2","7","4","1991-01-01"
"274","30","319","1099","11080","2","1124","0","0","27","2","7","57","2013-03-09"
"275","30","320","1191","10223","3","954","0","0","27","2","7","4","2013-01-26"
"276","30","321","1119","10881","2","1124","0","0","27","2","7","57","2013-03-09"
"277","30","321","1190","10232","3","954","0","0","25","2","7","4","1991-01-01"
"279","30","358","320","10459","2","1124","0","0","27","2","7","57","2013-03-09"
"280","30","359","319","10493","2","1124","0","0","27","2","7","57","2013-03-09"
"281","30","361","335","9991","3","954","0","0","27","2","7","4","2013-01-26"
"283","48","358","312","10728","3","0","0","0","29","2","9","59","2013-03-01"
"284","48","360","555","6031","3","1058","0","0","27","2","7","53","2013-02-18"
"285","31","318","562","21666","2","1100","0","0","25","2","7","2","1991-01-01"
"286","31","318","520","23416","2","1189","0","0","25","2","7","24","2013-01-18"
"287","31","319","573","21250","1","1097","0","0","30","2","7","36","1991-01-01"
"288","31","320","594","20498","1","1097","0","0","30","2","7","36","1991-01-01"
"289","31","321","658","18505","1","1097","0","0","30","2","7","36","1991-01-01"
"290","31","325","240","15952","2","1150","0","0","25","2","7","1","2013-03-03"
"292","31","358","198","16905","2","1150","0","0","25","2","7","1","2013-03-03"
"293","31","361","178","18804","1","1100","0","0","30","2","7","36","1991-01-01"
"294","31","361","181","18492","3","1071","0","0","27","2","7","4","2013-01-26"
"295","31","361","197","16990","3","993","0","0","27","2","9","50","2013-02-14"
"297","32","319","425","28650","1","0","0","0","30","5","9","39","1991-01-01"
"298","32","319","432","28186","2","1200","0","0","27","2","7","57","2013-03-09"
"299","32","320","423","28786","2","1200","0","0","27","2","7","57","2013-03-09"
"300","32","321","423","28786","2","1200","0","0","27","2","7","57","2013-03-09"
"301","32","321","453","26879","1","0","0","0","30","5","9","39","1991-01-01"
"302","32","325","167","22925","2","1200","0","0","27","2","7","57","2013-03-09"
"304","32","358","146","22926","2","1200","0","0","27","2","7","57","2013-03-09"
"305","32","359","147","22770","2","1200","0","0","27","2","7","57","2013-03-09"
"306","32","359","143","23407","2","1215","0","0","28","2","7","54","2013-03-12"
"307","32","360","144","23244","2","1200","0","0","27","2","7","57","2013-03-09"
"308","32","361","144","23244","2","1200","0","0","27","2","7","57","2013-03-09"
"310","33","318","362","33636","3","1097","0","0","26","2","7","3","1991-01-01"
"311","33","318","292","41699","2","1280","0","0","26","5","7","47","2013-01-12"
"312","33","318","316","38532","2","1228","0","0","25","2","7","23","2013-01-18"
"313","33","318","311","39152","2","1228","0","0","25","2","7","10","2013-01-18"
"314","33","318","332","36675","2","1150","0","0","25","2","7","23","2013-01-18"
"315","33","318","323","37697","2","1175","0","0","25","2","7","10","2013-01-18"
"316","33","318","323","37697","2","1175","0","0","25","2","7","25","2013-01-30"
"317","33","318","322","37814","2","1175","0","0","25","2","7","25","2013-01-30"
"318","33","318","325","37465","2","1162","0","0","24","2","7","12","2012-02-03"
"319","33","318","311","39152","2","1228","0","0","25","2","7","13","2012-02-03"
"320","33","319","326","37350","1","0","0","0","30","5","9","37","1991-01-01"
"321","33","319","366","33268","3","1097","0","0","26","2","7","3","1991-01-01"
"322","33","319","317","38411","2","1280","0","0","26","2","7","47","2013-01-12"
"323","33","319","313","38902","2","1228","0","0","25","2","7","25","2013-01-30"
"324","33","319","325","37465","2","1175","0","0","25","2","7","20","2013-02-18"
"325","33","319","318","38290","2","1201","0","0","25","2","7","20","2013-02-18"
"326","33","319","313","38902","2","1228","0","0","25","2","7","20","2013-02-18"
"327","33","320","360","33823","3","1097","0","0","26","2","7","3","1991-01-01"
"328","33","320","327","37236","2","1162","0","0","24","2","7","11","2013-01-30"
"329","33","320","327","37236","2","1162","0","0","25","2","7","12","2012-02-03"
